IATA_CODE,AIRPORT,CITY,STATE,COUNTRY,LATITUDE,LONGITUDE
ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,USA,33.64044,-84.42694
DEN,Denver International Airport,Denver,CO,USA,39.85841,-104.667
DFW,Dallas/Fort Worth International Airport,Dallas-Fort Worth,TX,USA,32.89595,-97.0372
IAH,George Bush Intercontinental Airport,Houston,TX,USA,29.98047,-95.33972
LAS,McCarran International Airport,Las Vegas,NV,USA,36.08036,-115.15233
LAX,Los Angeles International Airport,Los Angeles,CA,USA,33.94254,-118.40807
MSP,Minneapolis-Saint Paul International Airport,Minneapolis,MN,USA,44.88055,-93.21692
ORD,Chicago O'Hare International Airport,Chicago,IL,USA,41.9796,-87.90446
PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,USA,33.43417,-112.00806
SFO,San Francisco International Airport,San Francisco,CA,USA,37.619,-122.37484
